ID,city,consent,sex,age,education,employment,registered,received_assistance,satisfaction,dissatisfied_reason,quantity,quality
1,Quelimane,Yes,Male,52,High School,Unemployed,No,No,,,,
2,Xai-Xai,No,Female,61,PhD,Unemployed,Yes,Yes,Very satisfied,,No,Bad
3,Matola,Yes,Female,59,High School,Retired,Yes,Yes,Somewhat satisfied,Wait too long,Yes,Great
4,Quelimane,Yes,Female,44,Master's,Employed,No,Yes,Very satisfied,,Yes,Ok
5,Tete,Yes,Male,80,No formal education,Unemployed,Yes,Yes,Somewhat dissatisfied,Wait too long,Yes,Great
6,Pemba,Yes,Male,62,High School,Retired,No,Yes,Very dissatisfied,Quality,No,Bad
7,Tete,Yes,Female,47,Master's,Student,Yes,Yes,Somewhat dissatisfied,Limited variety,Yes,Bad
8,Matola,Yes,Female,54,Master's,Unemployed,0,Yes,,,,
9,Tete,Yes,Female,19,Bachelor's,Employed,No,Yes,Very dissatisfied,Quality,No,Ok
10,Pemba,Yes,Male,26,Master's,Employed,No,Yes,Somewhat satisfied,Quality,Yes,Bad
11,Inhambane,Yes,Male,62,No formal education,Unemployed,No,Yes,,,,
12,Beira,Yes,Male,79,Master's,Employed,1,Yes,Very satisfied,,No,Great
13,Nampula,No,Male,,,,,,,,,
14,XaiXai,Yes,Male,70,Master's,Student,No,No,,,,
15,Matola,Yes,Female,65,None,Student,No,Yes,,,,
16,Matola,Yes,Male,51,Master's,Unemployed,Yes,No,,,,
17,Inhambane,Yes,Male,24,Master's,Retired,No,Yes,Very satisfied,,Yes,Ok
18,Nampula,Yes,Male,71,Bachelor's,Retired,No,Yes,Very dissatisfied,Quality,No,Bad
19,Inhambane,No,Male,,,,,,,,,
20,Matola,Yes,Male,40,PhD,Student,Yes,Yes,,,,
21,Tete,Yes,Female,41,Master's,Employed,Yes,Yes,Somewhat satisfied,Wait too long,No,Ok
22,Chimoio,Yes,Female,26,No formal education,Student,Yes,Yes,,,,
23,Quelimane,Yes,Male,25,High School,Retired,Yes,Yes,Somewhat dissatisfied,Quality,Yes,Great
23,Tete,Yes,Male,26,Bachelor's,Retired,0,No,,,,
24,Beira,Yes,Male,57,Master's,Employed,0,Yes,,,,
25,Nampula,Yes,Male,63,Bachelor's,Unemployed,0,Yes,Somewhat dissatisfied,Wait too long,Yes,Ok
26,Pemba,Yes,Female,44,Bachelor's,Retired,0,Yes,Somewhat satisfied,Wait too long,No,Ok
27,Matola,Yes,Female,22,PhD,Retired,Yes,Yes,Somewhat dissatisfied,Wait too long,No,Bad
27,Matola,Yes,Male,99,High School,Employed,0,Yes,Very dissatisfied,Quality,Yes,Great
28,Inhambane,Yes,Male,18,PhD,Unemployed,0,No,,,,
29,Beira,Yes,Female,57,High School,Unemployed,No,Yes,Very dissatisfied,Quality,Yes,Bad
29,Maputo,No,Female,,,,,,,,,
30,Inhambane,Yes,Male,62,High School,Retired,No,Yes,Somewhat dissatisfied,Wait too long,No,Bad
31,Pemba,Yes,Male,80,High School,Retired,Yes,Yes,,,,
32,Xai-Xai,No,Female,46,No formal education,Employed,Yes,Yes,Somewhat satisfied,Quality,No,Bad
33,Tete,Yes,Male,71,Master's,Student,1,No,Very satisfied,,Yes,Bad
34,Quelimane,Yes,Female,39,Master's,Student,1,Yes,Somewhat satisfied,Wait too long,Yes,Ok
35,Quelimane,Yes,Male,72,PhD,Unemployed,1,Yes,Very satisfied,,No,Ok
36,Quelimane,Yes,Male,37,No formal education,Unemployed,1,Yes,Very satisfied,,Yes,Ok
37,Pemba,No,Male,74,Master's,Retired,No,Yes,Very dissatisfied,Quality,Yes,Bad
38,Beira,Yes,Female,28,High School,Employed,No,Yes,Very dissatisfied,Quality,No,Bad
39,Nampula,Yes,Male,49,Master's,Student,No,No,,,,
40,Tete,Yes,Female,150,Master's,Unemployed,Yes,Yes,Very dissatisfied,Wait too long,No,Great
41,Xai-Xai,No,Male,44,PhD,Retired,No,Yes,Very satisfied,,No,Ok
42,Inhambane,Yes,Male,28,High School,Employed,Yes,Yes,Very satisfied,,Yes,Bad
43,XaiXai,Yes,Female,27,High School,Student,Yes,Yes,Somewhat satisfied,Wait too long,No,Ok
44,Nampula,Yes,Male,54,Bachelor's,Retired,1,Yes,Very dissatisfied,Wait too long,No,Ok
45,Nampula,Yes,Female,73,No formal education,Unemployed,No,Yes,,,,
46,Nampula,Yes,Female,53,PhD,Student,No,Yes,Very satisfied,,Yes,Bad
46,Tete,Yes,Female,72,PhD,Employed,1,Yes,Very satisfied,,Yes,Bad
47,Matola,Yes,Male,22,High School,Retired,1,Yes,Very satisfied,,Yes,Great
47,Tete,Yes,Male,39,Bachelor's,Student,No,No,,,,
48,Xai-Xai,Yes,Female,21,Master's,Employed,Yes,Yes,Very dissatisfied,Wait too long,No,Great
49,Quelimane,Yes,Female,59,No formal education,Employed,0,Yes,Somewhat dissatisfied,Limited variety,No,Ok
50,Quelimane,Yes,Male,23,High School,Student,0,Yes,Very satisfied,,Yes,Great
51,Chimoio,Yes,Male,58,No formal education,Employed,Yes,No,,,,
51,Matola,Yes,Female,68,No formal education,Student,Yes,Yes,Somewhat satisfied,Limited variety,No,Bad
52,Xai-Xai,Yes,Female,38,Bachelor's,Student,Yes,No,,,,
53,Inhambane,Yes,Female,23,Master's,Retired,0,Yes,Somewhat dissatisfied,Limited variety,No,Ok
54,Tete,Yes,Male,23,Bachelor's,Employed,No,No,,,,
55,Matola,Yes,Male,69,No formal education,Student,No,No,,,,
