ID,Consent,City,Age,Education,Employment,Household Size,Water Source,Food Source,Received Assistance,Assistance Satisfaction,Received Correct Item/Quantity,Item Quality
78,Yes,Beira,31,Master's,Student,10,No,No,Yes,Dissatisfied,No,Poor
19,No,Inhambane,18,High School,Retired,15,No,Yes,No,,,
1,Yes,Quelimane,52,High School,Unemployed,3,No,No,No,,,
46,Yes,Tete,72,PhD,Employed,12,Yes,No,Yes,Very satisfied,Yes,Poor
29,Yes,Beira,57,High School,Unemployed,2,No,Yes,Yes,Very dissatisfied,Yes,Poor
72,Yes,Pemba,15,Bachelor's,Student,17,No,Yes,Yes,Very satisfied,No,Great
62,Yes,Inhambane,24,No formal education,Student,16,No,No,Yes,Very satisfied,No,Great
84,Yes,Pemba,64,No formal education,Employed,18,No,Yes,Yes,Somewhat satisfied,No,Great
33,Yes,Tete,71,Master's,Student,19,Yes,Yes,No,Very satisfied,Yes,Poor
86,Yes,Xai-Xai,22,Master's,Student,1,No,No,No,,,
27,Yes,Matola,99,High School,Employed,12,No,No,Yes,Very dissatisfied,Yes,Great
69,No,Maputo,73,Master's,Employed,16,Yes,No,Yes,Dissatisfied,Yes,Poor
63,Yes,Chimoio,24,Master's,Student,15,No,No,No,,,
29,No,Maputo,55,Master's,Retired,3,Yes,No,No,,,
90,Yes,Matola,71,PhD,Employed,14,Yes,No,Yes,Very dissatisfied,No,Poor
40,Yes,Tete,150,Master's,Unemployed,19,Yes,No,Yes,Very dissatisfied,No,Great
3,Yes,Matola,59,High School,Retired,19,Yes,No,Yes,Somewhat satisfied,Yes,Great
6,Yes,Pemba,62,High School,Retired,6,No,Yes,Yes,Very dissatisfied,No,Poor
89,Yes,Nampula,76,No formal education,Retired,18,Yes,No,Yes,Very dissatisfied,No,Great
79,Yes,Inhambane,60,High School,Employed,1,Yes,Yes,Yes,Very dissatisfied,Yes,Great
23,Yes,Tete,26,Bachelor's,Retired,17,No,No,No,,,
9,Yes,Tete,19,Bachelor's,Employed,8,No,Yes,Yes,Very dissatisfied,No,Ok
46,Yes,Nampula,53,PhD,Student,14,No,No,Yes,Very satisfied,Yes,Poor
83,Yes,Maputo,22,Master's,Retired,19,No,No,No,,,
52,Yes,Xai-Xai,38,Bachelor's,Student,1,Yes,No,No,,,
71,Yes,Inhambane,39,Bachelor's,Employed,6,Yes,No,No,,,
17,Yes,Inhambane,24,Master's,Retired,18,No,Yes,Yes,Very satisfied,Yes,Ok
32,No,Xai-Xai,46,No formal education,Employed,14,Yes,No,Yes,Somewhat satisfied,No,Poor
7,Yes,Tete,47,Master's,Student,7,Yes,No,Yes,Dissatisfied,Yes,Poor
2,No,Xai-Xai,61,PhD,Unemployed,3,Yes,Yes,Yes,Very satisfied,No,Poor
25,Yes,Nampula,63,Bachelor's,Unemployed,9,No,No,Yes,Dissatisfied,Yes,Ok
73,Yes,Tete,30,Master's,Retired,4,No,No,Yes,Very dissatisfied,No,Poor
23,Yes,Quelimane,25,High School,Retired,1,Yes,Yes,Yes,Dissatisfied,Yes,Great
43,Yes,Xai-Xai,27,High School,Student,19,Yes,Yes,Yes,Somewhat satisfied,No,Ok
